;Dépenses de consommation totales;Dépenses pour la culture;Dépenses pour les médias; Contenus et services ;Contenus et services audiovisuels ;Film et vidéo;Musique et son;Location de supports audio et vidéo;Télévision et radio;Cinéma ;Imprimés;Livres et brochures;Journaux et périodiques;Internet (y.c. abonnemets combinés) jusqu'en 2011;Internet (y.c. abonnemets combinés) à partir de 2012 ; Matériel et biens;Appareils de lecture et de réception ;Ordinateurs et modems ;Téléviseurs et appareils vidéo, y compris les accessoires ;Appareils radio et audio ;Appareils photo et caméras, y compris les accessoires ;Réparations 
2006;199983515554,63;11750529537,65;9428389635,74;6868402396,59;2434119994,50;194814590,84;261070929,70;23004808,71;1737805216,70;217424448,54;2234696134,20;850408379,42;1384287754,78;2199586267,89;…;2559987239,15;2074268543,75;930092724,68;861153284,86;283022534,20;428298622,47;( )
2007;211156908665,52;12758540903,56;10285642763,10;7148459119,11;2466361334,44;228665271,19;217427497,36;20577058,39;1803566139,01;196125368,49;2199632869,57;836547935,32;1363084934,26;2482464915,10;…;3137183643,99;2602064342,16;1133042635,53;1171331777,11;297689929,51;467140567,19;67978734,65
2008;212549338268,83;12496801292,52;10158273453,47;7320371090,93;2479065294,98;183107715,33;228714918,40;17798413,77;1851874378,80;197569868,68;2087271879,79;754382994,10;1332888885,69;2754033916,16;…;2837902362,55;2369130533,44;928582847,27;1069098343,23;371449342,94;375790187,99;92981641,12
2009;218714429184,65;13038061120,22;10666325576,44;7891809230,55;2683794187,51;248963475,50;232860187,83;11978826,04;1985695935,41;204295762,74;2140336499,60;823438266,07;1316898233,54;3067678543,44;…;2774516345,89;2274040300,05;991844027,83;990336236,16;291860036,07;404546904,04;95929141,79
2010;222492091978,33;13475104617,60;10998584625,14;8135788971,42;2632814015,88;212477184,66;219460989,37;14286149,06;1975258102,91;211331589,88;2183643448,63;823675971,49;1359967477,15;3319331506,90;…;2862795653,72;2431385691,87;1124260631,05;997345649,14;309779411,67;359294930,87;( )
2011;221047955992,81;13240662591,48;10874742747,56;8593537179,66;2496386877,35;184748753,73;171242907,84;( );1932930049,90;198946308,18;2095882666,19;794918863,53;1300963802,66;4001267636,12;…;2281205567,90;1929137734,15;1058344845,70;617851836,94;252941051,51;284107883,75;( )
2012;227136527995,50;15235972797,88;12729036813,10;10109419165,79;2584662991,51;174617269,53;118858480,63;( );2076282581,95;210091307,24;2056967855,88;771439394,54;1285528461,34;…;5467788318,41;2619617647,31;2259290479,47;943527846,97;1000850999,24;314911633,26;295259264,49;( )
2013;233078783583,43;15687242906,77;13076951369,64;11046142520,74;2566720262,35;162844548,26;134500166,69;( );2078314198,31;186430181,00;2082262399,32;763439743,30;1318822656,01;…;6397159859,07;2030808848,90;1730880272,09;818603889,50;601664191,84;310612190,74;258119864,27;( )
2014;230714014403,07;16074099339,98;13577916201,22;11317513389,32;2454328353,11;126711660,88;102138642,19;;2041129036,50;176903849,89;1939362526,93;685252898,20;1254109628,73;…;6923822509,28;2260402811,90;1866839163,94;985753133,23;605843450,15;275242580,56;349049066,50;( )
2015;233060765690,83;15668319727,05;13189986121,46;11394599427,31;2521754157,09;114312693,09;115732947,19;11654828,61;2032805017,75;247248670,45;1921342751,03;707275395,37;1214067355,66;…;6951502519,20;1795386694,15;1445250025,05;709132062,43;455817223,34;280300739,28;293377359,49;( )
